step,n_cumulative,t_seconds,telomere,centriolar,mito,epigenetic,proteostasis,tissue_load
37,37.0,22377600.0,0.011746246316939907,0.01950126076115916,0.18541874342913955,0.01567558992584858,0.01361719604602547,0.05904287288692238
38,38.0,22982400.0,0.012354505297700175,0.020147258068331488,0.19044803621511144,0.016385165800215394,0.014190949486249726,0.060783232629537755
39,39.0,23587200.0,0.012978206944755544,0.020799990696758634,0.1954786123303979,0.017109829552940124,0.014775794086573878,0.06253152389737689
40,40.0,24192000.0,0.013617362652033133,0.021459495651106678,0.20051049795403741,0.017849585034010716,0.015371750869195542,0.0642877718561765
41,41.0,24796800.0,0.014271983893922176,0.022125809980431812,0.2055437192899406,0.018604436171952225,0.01597884093102273,0.0660520017229452
42,42.0,25401600.0,0.0149420822253879,0.02279897077839965,0.2105783025670436,0.019374386973901443,0.01659708544382433,0.0678242387661272
43,43.0,26006400.0,0.015627669282085907,0.023479015183504887,0.21561427403946135,0.02015944152568197,0.017226505654381066,0.06960450830576628
44,44.0,26611200.0,0.016328756780477054,0.024165980379291383,0.2206516599866414,0.020959603991879752,0.017867122884636974,0.07139283571367026
45,45.0,27216000.0,0.017045356517942842,0.02485990359457258,0.22569048671351793,0.021774878615919074,0.018518958531851332,0.0731892464135758
46,46.0,27820800.0,0.01777748037290128,0.02556082210365234,0.2307307805506657,0.022605269720139026,0.019182034068751123,0.07499376588131344
47,47.0,28425600.0,0.018525140304923273,0.026268773226546138,0.2357725678544546,0.023450781705870418,0.01985637104368397,0.07680641964497341
48,48.0,29030400.0,0.019288348354849497,0.026983794329202653,0.24081587500720417,0.024311419053513177,0.020541991080771572,0.07862723328507118
49,49.0,29635200.0,0.02006711664490779,0.027705922823725748,0.24586072841733844,0.025187186322614186,0.021238915880063644,0.0804562324347142
50,50.0,30240000.0,0.020861457378831036,0.028435196168596827,0.2509071545195411,0.026078088151945598,0.021947167217692347,0.08229344277976819
51,51.0,30844800.0,0.021671382841975555,0.029171651868897586,0.2559551797749107,0.026984129259583618,0.022666766946027223,0.08413889005902453
52,52.0,31449600.0,0.022496905401440004,0.029915327476533155,0.26100483067111635,0.027905314442987748,0.023397736993830628,0.08599260006436758
53,53.0,32054400.0,0.02333803750618477,0.03066626059045564,0.26605613372255316,0.028841648579080493,0.024140099366413665,0.08785459864094247
