step,n_cumulative,t_seconds,telomere,centriolar,mito,epigenetic,proteostasis,tissue_load
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,604800.0,0.00023832991101984942,0.00045331964407939766,0.005,0.00015331964407939766,0.00017748973305954825,0.0016380758042436685
2,2.0,1209600.0,0.0004917364818617385,0.0009120346723134839,0.01000033080937714,0.0003216392881587953,0.0003653594455852156,0.0032848922803302536
3,3.0,1814400.0,0.0007602282049537988,0.001376180605501369,0.015001017808110886,0.0005049599246663243,0.0005636274968878338,0.004940465423436646
4,4.0,2419200.0,0.001043813649360314,0.001845793000986654,0.020002086395532442,0.0007032826221700546,0.0007723123157910208,0.006604811283924917
5,5.0,3024000.0,0.0013425014608778457,0.00232090745286382,0.025003561990470404,0.0009166085254360496,0.0009914324007642974,0.008277945967460398
6,6.0,3628800.0,0.0016563003621318244,0.002801559592184942,0.030005470031396607,0.0011449388554868583,0.0012210063200566543,0.009959885635130124
7,7.0,4233600.0,0.001985219152673607,0.0032877850871667383,0.03500783597657215,0.0013882749096604458,0.0014610527118305752,0.011650646503561627
8,8.0,4838400.0,0.0023292667090780033,0.0037796196433979444,0.04001068530419364,0.00164661806166956,0.0017115902842965115,0.013350244845042132
9,9.0,5443200.0,0.0026884519850412687,0.0042770990040470235,0.045014043512539605,0.0019199697616615386,0.0019726378158478157,0.01505869698763809
10,10.0,6048000.0,0.003062784011479568,0.004780258950070207,0.05001793612011711,0.002208331536278555,0.002244214155196128,0.016776019315315076
11,11.0,6652800.0,0.003452271896627908,0.005289135300419877,0.05502238866580858,0.002511704988718304,0.0025263382215072244,0.0185022282680581
12,12.0,7257600.0,0.0038569248261395425,0.005803763912253273,0.060027426709018804,0.002830091798795127,0.0028190290045373182,0.020237340341992236
13,13.0,7862400.0,0.004276752063185845,0.006324180681141548,0.06503307582982214,0.003163493723001581,0.003122305564769826,0.021981372089503643
14,14.0,8467200.0,0.004711762948556662,0.006850421541279156,0.07003936162910991,0.0035119125945704452,0.003436187033552591,0.023734340119360986
15,15.0,9072000.0,0.005161966900761125,0.00738252246569358,0.07504630972873803,0.003875350323537173,0.003760692613235569,0.025496261096837166
16,16.0,9676800.0,0.0056273734161289566,0.007920519466455408,0.08005394577167481,0.004253808896802784,0.004095841577308978,0.027267151743831496
17,17.0,10281600.0,0.006107992068912231,0.008464448594888742,0.08506229542214892,0.004647290378197206,0.004441653270541906,0.029047028838992208
18,18.0,10886400.0,0.006603832511387625,0.009014345941781955,0.09007138436579766,0.00505579690854305,0.004798147109121393,0.030835909217839335
19,19.0,11491200.0,0.0071149044739591384,0.009570247637598797,0.09508123830981532,0.00547933070571984,0.005165342580791971,0.032633809772887996
20,20.0,12096000.0,0.007641217765261293,0.010132189852689846,0.10009188298310184,0.005917894064728683,0.005543259244995669,0.03444074745377204
21,21.0,12700800.0,0.008182782272262813,0.010700208797504301,0.10510334413641158,0.006371489357757386,0.005931916733012494,0.03625673926736806
22,22.0,13305600.0,0.008739607960370776,0.011274340722802131,0.11011564754250235,0.006840119034246019,0.006331334748101375,0.0380818022779198
23,23.0,13910400.0,0.009311704873535257,0.011854621919866574,0.1151288189962847,0.007323785620952923,0.006741533065641576,0.03991595360716297
24,24.0,14515200.0,0.009899083134354439,0.012441088720716984,0.1201428843149713,0.007822491722021175,0.00716253153327458,0.04175921043445035
25,25.0,15120000.0,0.010501752944180213,0.013033777498322033,0.12515786933822662,0.008336240019045487,0.0075943500710464506,0.04361158999687741
26,26.0,15724800.0,0.011119724583224267,0.013632724666813272,0.1301737999283167,0.008865033271139565,0.008037008671550659,0.045473109589408194
27,27.0,16329600.0,0.011753008410664637,0.01423796668169904,0.1351907019702594,0.009408874315003913,0.008490527400071387,0.04734378656500163
28,28.0,16934400.0,0.012401614864752768,0.014849540040078742,0.14020860137197447,0.00996776606499409,0.008954926394727307,0.049223638334738265
29,29.0,17539200.0,0.013065554462921038,0.015467481280857466,0.1452275240644342,0.010541711513189412,0.009430225866615837,0.051112682367947346
30,30.0,18144000.0,0.013744837801890786,0.016091826984960984,0.150247496001814,0.011130713729462113,0.00991644609995787,0.05301093619233422
31,31.0,18748800.0,0.01443947555778081,0.0167226137755511,0.15526854316164343,0.011734775861546953,0.01041360745224299,0.0549184173941083
32,32.0,19353600.0,0.015149478486216363,0.017359878318241356,0.16029069154495723,0.012353901135111282,0.010921730354375147,0.056835143618111233
33,33.0,19958400.0,0.015874857422438642,0.01800365732131312,0.16531396717644672,0.012988092853825552,0.011440835310818841,0.05876113256794557
34,34.0,20563200.0,0.016615623281414745,0.01865398753593203,0.17033839610461138,0.01363735439943429,0.011970942899745764,0.06069640200610379
35,35.0,21168000.0,0.017371787057948146,0.01931090575636478,0.17536400440191055,0.014301689231827522,0.012512073773181935,0.06264096975409768
36,36.0,21772800.0,0.01814335982678964,0.019974448820196333,0.18039081816491556,0.014981100889112652,0.013064248657155315,0.0645948536925882
37,37.0,22377600.0,0.018930352742748794,0.02064465360854745,0.18541886351446182,0.015675592987686796,0.013627488351843905,0.06655807176151567
38,38.0,22982400.0,0.019732777040805873,0.021321557046292607,0.19044816659580135,0.01638516922230958,0.014201813731724338,0.06853064196023032
39,39.0,23587200.0,0.02055064403622428,0.022005196102278288,0.19547875357875538,0.01710983336617638,0.014787245745720944,0.07051258234762332
40,40.0,24192000.0,0.021383965124663482,0.022695607789541654,0.20051065065786727,0.01784958927099204,0.015383805417355319,0.07250391104225822
41,41.0,24796800.0,0.022232751782292427,0.02339282916552958,0.20554388405255564,0.01860444086704504,0.015991513844896364,0.07450464622250258
42,42.0,25401600.0,0.023097015565903465,0.02409689733231807,0.2105784800072676,0.019374392163282104,0.016610392201510834,0.07651480612666031
43,43.0,26006400.0,0.023976768113026757,0.024807849436832057,0.21561446479163238,0.020159447247383302,0.01724046173541436,0.07853440905310412
44,44.0,26611200.0,0.024872021142045196,0.02552572267106556,0.22065186470061518,0.020959610285837597,0.017881743770022974,0.08056347336040864
