step,n_cumulative,t_seconds,t_years,telomere,centriolar,mito,epigenetic,proteostasis,tissue_load,edc_exposure,edc_target
39,39.0,23587200.0,0.7474332648870636,0.007975097712318548,0.034903234923642994,0.32049510538996323,0.02518669121856865,0.022269505812482753,0.09280909318881611,0.8,thyroid
40,40.0,24192000.0,0.7665982203969883,0.008350892526124677,0.036299732371290645,0.3287425615869943,0.02632602732187064,0.023188155889620775,0.09542369033157018,0.8,thyroid
41,41.0,24796800.0,0.785763175906913,0.008735394121166407,0.03772154185558104,0.3369920757702058,0.027490105793763722,0.024124628112663065,0.09805030945690699,0.8,thyroid
42,42.0,25401600.0,0.8049281314168378,0.00912861346650287,0.03916868192165702,0.34524369050411224,0.02867893280820644,0.02507895569334119,0.10068897169536,0.8,thyroid
43,43.0,26006400.0,0.8240930869267625,0.009530561590363577,0.040641171245441934,0.35349744839261377,0.02989251466685088,0.02605117194017424,0.10333969825288813,0.8,thyroid
44,44.0,26611200.0,0.8432580424366872,0.009941249580236204,0.04213902863382168,0.3617533920792208,0.031130857799160822,0.027041310258704866,0.10600251041102646,0.8,thyroid
45,45.0,27216000.0,0.8624229979466119,0.010360688582954702,0.0436622730248274,0.37001156424727866,0.03239396876253059,0.028049404151735954,0.10867742952703746,0.8,thyroid
46,46.0,27820800.0,0.8815879534565366,0.010788889804787772,0.04521092348781898,0.3782720076201929,0.033681854242404524,0.029075487219567885,0.11136447703406271,0.8,thyroid
47,47.0,28425600.0,0.9007529089664613,0.011225864511527675,0.04678499922366924,0.3865347649616549,0.034994521052397205,0.03011959316023644,0.11406367444127495,0.8,thyroid
48,48.0,29030400.0,0.919917864476386,0.011671624028579372,0.04838451956494888,0.39479987907586755,0.03633197613441427,0.03118175576975128,0.1167750433340308,0.8,thyroid
49,49.0,29635200.0,0.9390828199863107,0.01212617974105004,0.05000950397611217,0.4030673928077717,0.037694226558773976,0.03226200894233509,0.11949860537402375,0.8,thyroid
50,50.0,30240000.0,0.9582477754962354,0.012589543093838904,0.05165997205368335,0.4113373490432728,0.03908127952432939,0.033360386670663295,0.12223438229943784,0.8,thyroid
