step,n_cumulative,t_seconds,telomere,centriolar,mito,epigenetic,proteostasis,tissue_load
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,604800.0,0.000019164955509924707,0.00011498973305954825,0.0023333333333333335,0.00015331964407939766,0.00017748973305954825,0.0009166174709103355
2,2.0,1209600.0,0.00004540657084188911,0.0002327081836071184,0.004666997476043806,0.0003136392881587953,0.00035985694729637234,0.0018367294030201915
3,3.0,1814400.0,0.00007872933842402464,0.0003531721211926762,0.007001004305612594,0.0004809599246663244,0.0005471106686879706,0.0027603449734818833
4,4.0,2419200.0,0.00011913778681312028,0.00047639833374151365,0.009335365709539281,0.0006552825816625598,0.0007392599563440067,0.003687473382901617
5,5.0,3024000.0,0.0001666364807424941,0.0006024036276520982,0.01167009358541062,0.0008366083228705753,0.0009363139025711668,0.004618123855401968
6,6.0,3628800.0,0.00022123002117008597,0.0007312048278940839,0.014005199840969396,0.001024938247706205,0.0011382816329382327,0.00555230563868451
7,7.0,4233600.0,0.000282923045326772,0.000862818778106483,0.016340696394183375,0.0012202734913085108,0.001345172306341373,0.006490028004092625
8,8.0,4838400.0,0.0003517202267649011,0.0009972623406960023,0.018676595173314357,0.0014226152245704587,0.0015569951150696498,0.007431300246674452
9,9.0,5443200.0,0.0004276262754070541,0.0011345523969355407,0.02101290811698733,0.0016319646541697996,0.0017737592848707452,0.008376131685246032
10,10.0,6048000.0,0.0005106459375950257,0.0012747058470628512,0.023349647174259705,0.0018483230226001594,0.0019954740750169056,0.00932453166245459
11,11.0,6652800.0,0.0006007839961390296,0.0014177396103793678,0.025686824304690655,0.0020716916082023362,0.0022221487783711047,0.010276509544841994
12,12.0,7257600.0,0.0006980452703671273,0.001563670625349197,0.02802445147841056,0.002302071725195806,0.0024537927214534263,0.011232074722908384
13,13.0,7862400.0,0.0008024346161748816,0.0017125158496982742,0.03036254067619054,0.0025394647237104353,0.002690415264507666,0.012191236611175956
14,14.0,8467200.0,0.0009139569260752332,0.0018642922605136877,0.03270110388951209,0.0027838719898184046,0.0029320258015681547,0.013154004648252926
15,15.0,9072000.0,0.0010326171292486034,0.002019016854343169,0.03504015312063681,0.0030352949455663388,0.0031786337605268023,0.014120388296897643
16,16.0,9676800.0,0.0011584201915932218,0.00217670664729475,0.03737970038267624,0.003293735049007647,0.003430248603200362,0.015090397044082897
17,17.0,10281600.0,0.0012913711157756791,0.00233737867513659,0.03971975769966178,0.003559193794235073,0.0036868798253979177,0.01606404040106036
18,18.0,10886400.0,0.0014314749412817067,0.0025010499933969693,0.04206033710661475,0.0038316727114134563,0.003948536956988593,0.017041327903425215
19,19.0,11491200.0,0.0015787367444671824,0.0026677376774644533,0.04440145064961648,0.0041111733668126975,0.004215229561969483,0.01802226911118098
20,20.0,12096000.0,0.0017331616386093629,0.002837458822688228,0.0467431103858786,0.004397697362840944,0.00448696723853381,0.01900687360880443
